cfg,hidden_dim,hidden_layers,lr,activation,mean_val_r2,median_val_r2,n_markers
hd64_hl4_lr0p003_tanh,64,4,0.003,tanh,0.8347122583077201,0.8741662306851774,38
hd32_hl4_lr0p01_tanh,32,4,0.01,tanh,0.8146757275160581,0.8439858839088211,39
hd32_hl4_lr0p003_tanh,32,4,0.003,tanh,0.8136864301128887,0.8593973553000398,36
hd64_hl4_lr0p001_tanh,64,4,0.001,tanh,0.8020492941286943,0.8330395845543883,36
hd128_hl4_lr0p001_tanh,128,4,0.001,tanh,0.8003522736902483,0.8338944382659167,39
hd64_hl4_lr0p01_tanh,64,4,0.01,tanh,0.798514110039935,0.8483142037750709,39
hd32_hl3_lr0p01_tanh,32,3,0.01,tanh,0.7960383114960712,0.86179308040152,39
hd64_hl3_lr0p003_tanh,64,3,0.003,tanh,0.7949469119899382,0.8421619043584544,39
hd128_hl3_lr0p001_tanh,128,3,0.001,tanh,0.7948189833208211,0.8498813875133452,38
hd128_hl4_lr0p003_tanh,128,4,0.003,tanh,0.7924435610462924,0.8789559342001649,38
hd64_hl3_lr0p01_tanh,64,3,0.01,tanh,0.7914271654016608,0.841346180487112,38
hd128_hl3_lr0p003_tanh,128,3,0.003,tanh,0.7871188828259619,0.8323314078225607,39
hd128_hl2_lr0p001_tanh,128,2,0.001,tanh,0.7709362873251376,0.8209983581562489,39
hd64_hl2_lr0p003_tanh,64,2,0.003,tanh,0.7690195068934105,0.8011892287161353,36
hd64_hl2_lr0p001_tanh,64,2,0.001,tanh,0.7611230076351597,0.8109001957295726,23
hd64_hl3_lr0p001_tanh,64,3,0.001,tanh,0.7561984401063035,0.8103702989411166,28
hd32_hl2_lr0p01_tanh,32,2,0.01,tanh,0.7393697926258561,0.8092745577653536,36
hd128_hl3_lr0p01_tanh,128,3,0.01,tanh,0.7369269093141748,0.7599307813152008,39
hd64_hl2_lr0p01_tanh,64,2,0.01,tanh,0.7193390156452032,0.7533413988187176,36
hd128_hl2_lr0p003_tanh,128,2,0.003,tanh,0.7024388760370038,0.7221339471804809,39
hd128_hl2_lr0p01_tanh,128,2,0.01,tanh,0.7004399247799687,0.7556591660943118,39
hd32_hl2_lr0p003_tanh,32,2,0.003,tanh,0.6805321843477099,0.7301458448818787,17
hd128_hl4_lr0p01_tanh,128,4,0.01,tanh,0.6697190957359894,0.7093005464296499,39
hd32_hl4_lr0p001_tanh,32,4,0.001,tanh,0.6239841108988687,0.7711937611176247,7
hd32_hl3_lr0p003_tanh,32,3,0.003,tanh,0.591880403829193,0.6014527017186555,10
hd32_hl4_lr0p01_softplus,32,4,0.01,softplus,0.5766944813913655,0.5766944813913655,2
hd64_hl2_lr0p001_softplus,64,2,0.001,softplus,0.5219239865993625,0.5746074000642433,3
hd32_hl3_lr0p001_tanh,32,3,0.001,tanh,0.3952264024079803,0.3952264024079803,2
hd32_hl2_lr0p001_tanh,32,2,0.001,tanh,0.3925869290303634,0.3925869290303634,1
hd64_hl4_lr0p001_softplus,64,4,0.001,softplus,0.3801313566438818,0.3801313566438818,1
hd64_hl3_lr0p01_softplus,64,3,0.01,softplus,0.347885687689124,0.3665877697338242,23
hd32_hl2_lr0p01_softplus,32,2,0.01,softplus,0.3315015516753411,0.3059007288795142,14
hd128_hl2_lr0p003_softplus,128,2,0.003,softplus,0.2823786766519911,0.264535923735738,27
hd64_hl4_lr0p003_softplus,64,4,0.003,softplus,0.2638400095173647,0.2876672609562924,6
hd128_hl3_lr0p001_softplus,128,3,0.001,softplus,0.2153594769222103,0.2745978877631496,3
hd64_hl2_lr0p003_softplus,64,2,0.003,softplus,0.2015684076884681,0.0,12
hd64_hl3_lr0p003_softplus,64,3,0.003,softplus,0.1413288645826328,0.0719998334413895,25
hd32_hl2_lr0p003_softplus,32,2,0.003,softplus,0.1229415044447575,0.0171936701394134,11
hd128_hl3_lr0p003_softplus,128,3,0.003,softplus,0.1150075170979669,0.0,14
hd128_hl2_lr0p01_softplus,128,2,0.01,softplus,0.1083855000190364,0.0,32
hd128_hl4_lr0p003_softplus,128,4,0.003,softplus,0.0431449075638612,0.0,37
hd128_hl2_lr0p001_softplus,128,2,0.001,softplus,0.0429910150956422,0.0,14
hd64_hl4_lr0p01_softplus,64,4,0.01,softplus,0.0315164426199717,0.0,37
hd32_hl3_lr0p01_softplus,32,3,0.01,softplus,0.0273230384568309,0.0,36
hd64_hl2_lr0p01_softplus,64,2,0.01,softplus,0.0268962193888218,0.0,22
hd64_hl3_lr0p001_softplus,64,3,0.001,softplus,0.0120082501043335,0.0,28
hd32_hl3_lr0p003_softplus,32,3,0.003,softplus,0.0095295733340836,0.0,5
hd128_hl4_lr0p01_softplus,128,4,0.01,softplus,0.0,0.0,39
hd128_hl3_lr0p01_softplus,128,3,0.01,softplus,0.0,0.0,39
hd128_hl4_lr0p001_softplus,128,4,0.001,softplus,0.0,0.0,3
hd32_hl2_lr0p001_softplus,32,2,0.001,softplus,0.0,0.0,8
hd32_hl4_lr0p001_softplus,32,4,0.001,softplus,0.0,0.0,17
hd32_hl3_lr0p001_softplus,32,3,0.001,softplus,0.0,0.0,6
hd32_hl4_lr0p003_softplus,32,4,0.003,softplus,0.0,0.0,12
