train_rank,arm,max_iterations,populations,population_size,max_size,parsimony,n_fits,median_train_r2,median_heldout_r2,max_heldout_r2,n_heldout_ge_06
1,it1400_p30_ps30_ms26_par08_unone_bdiv,1400,30,30,26,0.8,18,0.887532,0.50229,0.94155,7
2,it1400_p60_ps30_ms26_par01_unone_bdiv,1400,60,30,26,0.1,18,0.881803,0.503825,0.940637,6
3,it1400_p60_ps30_ms26_par08_unone_bdiv,1400,60,30,26,0.8,18,0.881588,0.451893,0.977021,7
4,it700_p30_ps30_ms26_par08_unone_bdiv,700,30,30,26,0.8,18,0.876655,0.427199,0.94155,5
5,it700_p60_ps60_ms22_par01_unone_bdiv,700,60,60,22,0.1,18,0.873582,0.677385,0.942356,10
6,it1400_p30_ps60_ms22_par08_unone_bdiv,1400,30,60,22,0.8,18,0.86723,0.317923,0.937557,6
7,it700_p30_ps60_ms22_par08_unone_bdiv,700,30,60,22,0.8,18,0.867049,0.595067,0.942228,8
8,it1400_p30_ps30_ms26_par01_unone_bdiv,1400,30,30,26,0.1,18,0.863739,0.128119,0.961039,7
9,it1400_p60_ps60_ms26_par01_unone_bdiv,1400,60,60,26,0.1,18,0.850497,0.413613,0.961539,7
10,it700_p30_ps30_ms26_par01_unone_bdiv,700,30,30,26,0.1,18,0.848216,0.0,0.961039,5
11,it1400_p30_ps60_ms22_par01_unone_bdiv,1400,30,60,22,0.1,18,0.842735,0.061619,0.910801,6
12,it700_p60_ps60_ms22_par08_unone_bdiv,700,60,60,22,0.8,18,0.841935,0.565712,0.973135,9
13,it1400_p60_ps30_ms22_par01_unone_bdiv,1400,60,30,22,0.1,18,0.841331,0.273808,0.946492,4
14,it700_p30_ps60_ms26_par08_unone_bdiv,700,30,60,26,0.8,18,0.840048,0.306328,0.97249,6
15,it1400_p60_ps30_ms18_par01_unone_bdiv,1400,60,30,18,0.1,18,0.836331,0.0,0.974257,6
16,it1400_p60_ps60_ms22_par01_unone_bdiv,1400,60,60,22,0.1,18,0.834198,0.687384,0.958819,11
17,it1400_p60_ps60_ms18_par01_unone_bdiv,1400,60,60,18,0.1,18,0.833637,0.095535,0.936013,6
18,it1400_p30_ps60_ms26_par08_unone_bdiv,1400,30,60,26,0.8,18,0.833301,0.385793,0.97306,7
