Context,Control,Seed,SR train R2,SR held-out R2,SR success,Seed recovery,Variables used,Complexity,NODE held-out R2,NODE dependencies,NODE interacting pairs,Recovered rate law
FLAG-GFP3,yes,44,0.932,0.935,yes,3/3,5,18.0,0.948,3.67,5.33,p_p90RSK*(p_ERK1_2*0.712752 - (GFP/5.96458 + p_MEK1_2*(p_MEK1_2 - p_PDK1)))/(-8.136228)
PIP5K3,no,44,0.932,0.928,yes,3/3,4,15.0,0.568,4.0,6.33,-(p_MAPKAPK2 - 1*1.4544531) + p_MEK1_2*(GFP/11.609088 + p_MEK1_2)/(2.2183204*p_ERK1_2)
untransfected3,yes,42,0.957,0.924,yes,2/3,3,15.0,0.915,2.33,1.67,(-GFP + (-p_ERK1_2 + p_MEK1_2/0.7223979)*(p_ERK1_2 + 0.7223979))*0.13576928
untransfected2,yes,44,0.948,0.915,yes,3/3,4,17.0,0.915,2.67,2.33,p_p90RSK*((GFP - p_MEK1_2*p_MEK1_2)*(-0.08107949) - 0.22770466*(p_ERK1_2 - 1*0.9346364))
PTPN7,no,43,0.906,0.91,yes,2/3,3,14.0,0.751,4.0,6.33,-0.41633347*p_ERK1_2 + p_MEK1_2/(GFP - 4.2532654 + (p_ERK1_2 + 13.264888)/p_MEK1_2)
FLAG-GFP2,yes,43,0.896,0.801,yes,3/3,4,13.0,0.888,3.0,3.0,p_MEK1_2/p_PDK1 - 2.1837938 + (GFP*0.13375168 + p_MEK1_2)/p_ERK1_2
untransfected1,yes,42,0.948,0.794,yes,1/3,4,15.0,0.0,3.67,5.0,p_ERK1_2*(-3.7710876) + p_p90RSK*2.9479158 + (GFP + p_MEK1_2 - 1*(-3.0628514))/p_p90RSK
ALPK2,no,43,0.879,0.729,yes,1/3,5,18.0,0.884,3.0,4.33,(-(-GFP/(p_PDK1 - 0.707549) + p_ERK1_2) + 2.260286/p_RAF)/(p_p90RSK*p_p90RSK + 1.4016016)
MAP2K2,no,44,0.02,0.727,yes,1/3,2,8.0,0.613,3.0,3.33,0.28954217 - p_ERK1_2/(11.742767 - GFP)
FLAG-GFP1,yes,44,0.956,0.706,yes,1/3,5,16.0,0.691,3.0,3.67,p_RAF*(GFP*0.045652155 + p_MEK1_2 + (p_ERK1_2 + p_p90RSK)*(-0.3284337) - 1.0560796)
PTPN2 (P1),no,43,0.838,0.698,yes,2/3,4,17.0,0.0,3.67,5.0,(p_MEK1_2 - 0.51235974*(GFP*0.248149 + p_ERK1_2 + p_MAPKAPK2))*(p_MEK1_2 - (p_MAPKAPK2 - 1*0.51235974))
FLAG-GFP4,yes,42,0.893,0.675,yes,3/3,6,16.0,0.843,3.33,4.0,p_ERK1_2_min*(GFP*0.036609717 - p_MKK3_6 + 0.24000937 + p_MEK1_2/p_ERK1_2)/p_RAF
TBK1,no,44,0.644,0.636,yes,1/3,6,18.0,0.489,4.33,6.67,p_MKK3_6*p_RAF*(GFP*0.37303165/(p_p90RSK*p_ERK1_2) - (p_MAPKAPK2 + p_MKK3_6*(-1.7527647)))/p_p90RSK
ERBB2,no,44,0.969,0.363,no,0/3,3,10.0,0.38,3.67,4.67,(-p_ERK1_2 + p_MKK3_6*1.553655)/(GFP + 1.1104033)
MAST2,no,42,0.845,0.246,no,0/3,5,16.0,0.0,4.33,7.33,p_ERK1_2*p_p90RSK*(p_MEK1_2/(GFP*0.10564386 + (p_ERK1_2 + p_MAPKAPK2)/p_MEK1_2) - 1*1.2951671)
DYRK3,no,44,0.879,0.187,no,0/3,7,17.0,0.177,4.33,7.67,p_p90RSK*(1.8238281 - (p_ERK1_2 + p_MAPKAPK2*p_RAF)/p_MEK1_2)/((p_MKK3_6*(GFP + p_MKK3_6)))
MET,no,42,0.044,0.099,no,0/3,4,15.0,0.727,5.0,9.67,(GFP - p_ERK1_2 + p_MKK3_6*p_MKK3_6 - p_p90RSK)*0.085186675
PRKACA,no,43,0.612,0.095,no,0/3,4,13.0,0.788,4.67,11.67,-0.34068307 - (-0.18783703*GFP - p_MEK1_2 + p_PDK1)/p_ERK1_2
ABL1,no,42,0.871,0.0,no,0/3,4,13.0,0.362,4.33,6.33,(p_MAPKAPK2 + p_RAF*(GFP - p_ERK1_2 - 1.9153274))/3.2765658
AKT3,no,43,0.924,0.0,no,1/3,6,20.0,0.0,3.67,5.0,(p_p90RSK + p_p90RSK)*(p_MEK1_2/(p_PDK1*p_MKK3_6*GFP*0.037617892 + p_ERK1_2) - 0.58485204) - 0.21683557
ARAF,no,44,0.749,0.0,no,0/3,4,16.0,0.0,3.0,3.0,p_p90RSK*p_p90RSK*(p_MKK3_6 - 0.11002311*(GFP + p_ERK1_2 + p_p90RSK + 3.8678594))
DUSP10 (P2),no,42,0.924,0.0,no,0/3,5,16.0,0.0,4.67,8.33,p_p90RSK*((-GFP + p_MEK1_2)*(p_MEK1_2 - p_p90RSK)/5.9523854 - 0.42766753 + p_MKK3_6/p_ERK1_2)
DUSP16,no,42,0.603,0.0,no,0/3,3,12.0,0.887,3.67,5.0,GFP*(-0.029596075) - p_RAF + 0.413263 - (-1)*0.9408906/p_ERK1_2
DUSP4,no,43,0.718,0.0,no,0/3,4,14.0,0.0,4.67,8.33,p_p90RSK*p_p90RSK*(p_MEK1_2/(GFP + p_ERK1_2*1.4075955) - 0.49618876)
DUSP7,no,42,0.0,0.0,no,0/3,2,6.0,0.771,4.0,6.0,GFP*0.032200024/p_ERK1_2
DYRK2,no,42,0.208,0.0,no,0/3,6,17.0,0.224,4.33,7.33,(-p_PDK1 - p_RAF/(GFP + 0.31388065 + p_MEK1_2_min/p_ERK1_2) + 1.8937582)/(p_MKK3_6*p_PDK1)
EGFR,no,42,0.0,0.0,no,1/3,5,20.0,0.889,3.0,3.33,(-GFP + p_ERK1_2 + (-p_MEK1_2 + p_p90RSK)/(p_PDK1 - 2.5315492) - 0.45170656)*(-0.025286615)
FGFR1,no,42,0.0,0.0,no,0/3,2,7.0,0.0,5.33,10.67,GFP*0.22092283/(p_ERK1_2*p_ERK1_2)
MAP4K2,no,43,0.275,0.0,no,0/3,5,18.0,0.0,3.33,4.33,(-p_ERK1_2 + (GFP + p_MEK1_2 - 1.2950462*p_p90RSK)/((p_MKK3_6/(-GFP + p_MEK1_2))))*0.11661084
MAPK1,no,44,0.4,0.0,no,0/3,7,16.0,0.97,5.0,10.0,(GFP/p_ERK1_2 - (p_MAPKAPK2 + p_PDK1 + p_RAF - 4.3237348))/(p_ERK1_2_min + p_p90RSK)
MAPK3,no,42,0.62,0.0,no,0/3,5,14.0,0.925,5.33,9.0,p_RAF*(-1.5905186) + (p_MEK1_2 + (GFP + 1.6532032)/p_ERK1_2)/p_MAPKAPK2
MST1R,no,44,0.504,0.0,no,0/3,5,16.0,0.278,4.0,5.67,(GFP + 0.4506522)*(p_RAF - p_p90RSK)*(p_ERK1_2*0.23657522 + p_MAPKAPK2 - 2.8708389)
PIK3R1,no,42,0.97,0.0,no,0/3,5,16.0,0.0,3.67,5.33,(-p_ERK1_2 + (p_MEK1_2 - 0.6911078)*1.7737077)/(((GFP + 1.4168956)/((p_MKK3_6*p_p90RSK))))
PTPN5,no,42,0.56,0.0,no,0/3,5,19.0,0.0,4.0,5.67,(GFP + p_ERK1_2 + p_MKK3_6*(-p_MEK1_2 - 1.6253111) + p_p90RSK)*(0.7641578 - p_MKK3_6)*p_p90RSK*0.30214375
RPS6KA1,no,42,0.0,0.0,no,0/3,4,12.0,0.0,4.0,6.0,p_MKK3_6/p_p90RSK - (GFP*(-0.0639075)/p_ERK1_2 + 0.3976411)
RPS6KA3,no,42,0.0,0.0,no,0/3,4,10.0,0.0,2.67,2.67,GFP/((p_ERK1_2*p_MEK1_2*p_p90RSK*p_p90RSK))
RPS6KA6,no,42,0.0,0.0,no,0/3,2,6.0,0.478,3.0,3.0,GFP/((p_ERK1_2/0.029807717))
TEC,no,43,0.688,0.0,no,0/3,5,21.0,0.0,5.33,12.67,(p_MEK1_2 + (GFP*(-0.35506862) + p_ERK1_2 + p_PDK1 - 0.43146917)*(-0.62664086))*(GFP*(-0.5347037) + p_ERK1_2)/p_ERK1_2_min
TYRO3,no,42,0.0,0.0,no,0/3,5,16.0,0.347,5.0,11.0,GFP*(-0.6045567 + (p_MEK1_2 - (p_ERK1_2*0.01941565 + 1.2976227))/p_p90RSK)/p_RAF
untransfected4,yes,43,0.873,0.0,no,0/3,5,22.0,0.882,2.33,1.67,p_p90RSK*(p_ERK1_2*p_p90RSK*p_p90RSK*(-0.03422401) + p_MEK1_2 - (GFP*p_p90RSK*(-0.04076697) + p_PDK1) - 1*0.34629726)/1.676527
